,device_hw_proc,device_hw_ram,device_hw_display,device_hw_video,device_os_name,device_os_version
459365,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i7-4702MQ CPU @ 2.20GHz,8GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics 4600, PCI\VEN_8086&DEV_0416&SUBSYS_380A17AA&REV_06\3&11583659&0&10",Microsoft Windows 10 Home Single Language,10.0.14393  Build 14393
125675,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,7GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_505C17AA&REV_07\3&21436425&0&10",Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
443759,Intel64 Family 6 Model 37 Stepping 5 Intel(R) Core(TM) i3 CPU       M 380  @ 2.53GHz,4GB 536870912,"1366x768 96,96 32","NVIDIA GeForce 310M      , PCI\VEN_10DE&DEV_0A75&SUBSYS_0814152D&REV_A2\4&70A0083&0&0008",Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
193416,Intel(R) Celeron(R) CPU G1610 @ 2.60GHz,3GB,,,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
161485,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i5-3450 CPU @ 3.10GHz,8GB 2181038080,"1920x1080 96,96 32","Intel(R) HD Graphics, PCI\VEN_8086&DEV_0152&SUBSYS_84CA1043&REV_09\3&11583659&0&10",Microsoft Windows 10 专业版,10.0.14393  Build 14393
54315,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,32GB,1920x1200,NVIDIA Quadro M2000,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
703463,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,16GB 2147483648,"1680x1050 96,96 32, 1680x1050 96,96 32","NVIDIA GeForce GT 730, PCI\VEN_10DE&DEV_0F02&SUBSYS_365B1458&REV_A1\4&286AF05D&0&0008, \\.\DISPLAY1",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
543853,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i7-3630QM CPU @ 2.40GHz,8GB 2281701376,"1600x900 96,96 32","Intel(R) HD Graphics 4000, PCI\VEN_8086&DEV_0166&SUBSYS_06861025&REV_09\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.16299  Build 16299
446300,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,16GB,1920x1080,NVIDIA GeForce GT 730,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
404485,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,4GB,1366x768,Intel(R) HD Graphics 5500,Майкрософт Windows 10 Pro,10.0.15063  Build 15063
